_id,MODEL_CD
67dbab120dc9badbe92b98e7,ALTO K10
67dbab120dc9badbe92b98e8,ALTO K10
67dbab120dc9badbe92b98e9,ALTO K10
67dbab120dc9badbe92b98ea,ALTO K10
67dbab120dc9badbe92b98eb,ALTO K10
67dbab120dc9badbe92b98ef,ALTO K10
67dbab120dc9badbe92b98ec,ALTO K10
67dbab120dc9badbe92b98ed,ALTO K10
67dbab120dc9badbe92b98fa,ALTO K10
67dbab120dc9badbe92b98ee,ALTO K10
67dbab120dc9badbe92b98f0,ALTO K10
67dbab120dc9badbe92b98f1,ALTO K10
67dbab120dc9badbe92b98f2,ALTO K10
67dbab120dc9badbe92b98f4,ALTO K10
67dbab120dc9badbe92b98f5,ALTO K10
67dbab120dc9badbe92b98f3,ALTO K10
67dbab120dc9badbe92b98f6,ALTO K10
67dbab120dc9badbe92b98f7,ALTO K10
67dbab120dc9badbe92b98f8,ALTO K10
67dbab120dc9badbe92b98f9,ALTO K10
67dbab130dc9badbe92b9905,ALTO K10
67dbab120dc9badbe92b98fb,ALTO K10
67dbab120dc9badbe92b98fc,ALTO K10
67dbab130dc9badbe92b98fe,ALTO K10
67dbab130dc9badbe92b98fd,ALTO K10
67dbab130dc9badbe92b9903,ALTO K10
67dbab130dc9badbe92b9904,ALTO K10
67dbab130dc9badbe92b98ff,ALTO K10
67dbab1a0dc9badbe92b9993,ALTO K10
67f75b44297b3a5cefba922b,EECO
67dbab130dc9badbe92b9900,ALTO K10
67dbab140dc9badbe92b9919,ALTO K10
67dbab160dc9badbe92b9940,ALTO K10
67dbab130dc9badbe92b9901,ALTO K10
67dbab130dc9badbe92b9902,ALTO K10
67dbab130dc9badbe92b9906,ALTO K10
67dbab130dc9badbe92b9907,ALTO K10
67dbab150dc9badbe92b9930,ALTO K10
67dbab160dc9badbe92b9948,ALTO K10
67dbab130dc9badbe92b9908,ALTO K10
67dbab130dc9badbe92b9909,ALTO K10
67dbab130dc9badbe92b990b,ALTO K10
67dbab130dc9badbe92b990a,ALTO K10
67dbab130dc9badbe92b990c,ALTO K10
67dbab130dc9badbe92b990d,ALTO K10
67dbab130dc9badbe92b990e,ALTO K10
67dbab130dc9badbe92b990f,ALTO K10
