_id,PART_NUM,PART_DESC,ACC_FLOW_YN,CATG_CD,TAG_CD,PART_PARENT_CATG,PART_WEB_CATG,EFF_FROM_DATE,MODEL_CD_LIST[0],MODEL_CD_LIST[1],MODEL_VARIANT[0],MODEL_VARIANT[1],MODEL_VARIANT[2],MODEL_VARIANT[3],MODEL_VARIANT[4],MODEL_YEAR_RANGE_LIST[0],MODEL_YEAR_RANGE_LIST[1],MODEL_YEAR_RANGE_LIST[2],MODEL_YEAR_RANGE_LIST[3],MODEL_VARIANT_YEAR_RANGE_LIST[0],MODEL_VARIANT_YEAR_RANGE_LIST[1],MODEL_VARIANT_YEAR_RANGE_LIST[2],MODEL_VARIANT_YEAR_RANGE_LIST[3],MODEL_VARIANT_YEAR_RANGE_LIST[4],MODEL_VARIANT_YEAR_RANGE_LIST[5],MODEL_VARIANT_YEAR_RANGE_LIST[6],MODEL_VARIANT_YEAR_RANGE_LIST[7],MODEL_VARIANT_YEAR_RANGE_LIST[8],MODEL_VARIANT_YEAR_RANGE_LIST[9],MODEL_VARIANT_YEAR_RANGE_LIST[10],SEARCH_TXT,ACTIVE,ORDER,CREATED_DATE,MODIFIED_DATE,CREATED_TIMESTAMP,MODIFIED_TIMESTAMP,PRICE,STAGING_APPROVED,PRODUCTION_APPROVED,NO_SHOW,FTDL_CODE,DISCOUNT_PERCENTAGE,CATG_TYPE,_class,ACC_SUBCATG_CD
690a36936caffe3d82a816dd,990J0M76TSF-020,Sun Control Roof Film CR-40 | GRAND VITARA,Y,AA,1,INT,SUN,2023-03-10T00:00:00.000Z,VICTORIS,GRAND VITARA,VICTORIS_Z,VICTORIS_Z+,GRAND VITARA_ZETA+,GRAND VITARA_ALPHA+,GRAND VITARA_ALPHA,VICTORIS_2025-9999,GRAND VITARA_2022-9999,GRAND VITARA_2010-9999,GRAND VITARA_2022-2025,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_Z+,GRAND VITARA_2022-9999_ZETA+,GRAND VITARA_2022-9999_ALPHA+,GRAND VITARA_2022-9999_ALPHA,GRAND VITARA_2010-9999_ZETA+,GRAND VITARA_2010-9999_ALPHA,GRAND VITARA_2010-9999_ALPHA+,GRAND VITARA_2022-2025_ALPHA,GRAND VITARA_2022-2025_ZETA+,GRAND VITARA_2022-2025_ALPHA+,990J0M76TSF-020 SUNROOF FILM CR40 SUN CONTROL ROOF FILM CR-40 | GRAND VITARA VICTORIS Z Z+ ZETA+ ALPHA+ ,true,9999,2025-11-04T17:23:24.274Z,2025-11-06T10:02:26.873Z,1762277004274,1762423346873,5490.00,true,true,false,SHOW,0,SUN,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,
690a372f6caffe3d82a85050,78904M71U00,"Roof Basket | Victoris (V,Z,Z(O),Z+,Z+(O)))",Y,AA,1,EXT,RLC,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_V,VICTORIS_Z,VICTORIS_Z+,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_V,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_Z+,,,,,,,,,"78904M71U00 ROOF RACK ATTACHMENT ROOF BASKET | VICTORIS (V,Z,Z(O),Z+,Z+(O))) VICTORIS ",true,7,2025-11-04T17:26:02.881Z,2025-11-04T17:36:13.076Z,1762277162881,1762277773076,23959.50,true,true,false,SHOW,0,RLC,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,
690a372f6caffe3d82a85051,78901M71U00,"Roof Bars | Victoris (V,Z,Z(O),Z+,Z+(O))",Y,AA,1,EXT,RLC,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_Z+,VICTORIS_V,VICTORIS_Z,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_Z+,VICTORIS_2025-9999_V,VICTORIS_2025-9999_Z,,,,,,,,,"78901M71U00 ROOF BAR ROOF BARS | VICTORIS (V,Z,Z(O),Z+,Z+(O)) VICTORIS ",true,7,2025-11-04T17:26:02.881Z,2025-11-04T17:36:13.076Z,1762277162881,1762277773076,12897.00,true,true,false,SHOW,0,RLC,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,
690a372f6caffe3d82a84fe9,75901M71U10,Premium Carpet Mat - Hybrid | Victoris,Y,AA,1,INT,MAT,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_Z,VICTORIS_Z+,VICTORIS_V,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_Z+,VICTORIS_2025-9999_V,,,,,,,,,75901M71U10 CARPET MAT PREMIUM RHD THS PREMIUM CARPET MAT - HYBRID | VICTORIS VICTORIS Z Z+ ,true,10,2025-11-04T17:26:02.881Z,2025-11-04T17:36:13.076Z,1762277162881,1762277773076,2475.50,true,true,false,DIY,0,MAT,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,MATCD
690a372f6caffe3d82a84f31,88910M71U00-5PK,Rear Parcel Tray | Victoris (L),Y,AA,1,,,2025-04-22T00:00:00.000Z,VICTORIS,,VICTORIS_L,,,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_L,,,,,,,,,,,"88910M71U00-5PK COVER COMP,LUGGAGE REAR PARCEL TRAY | VICTORIS (L) VICTORIS ",true,9999,2025-11-04T17:26:02.881Z,2025-11-04T17:36:13.074Z,1762277162881,1762277773074,2018.50,true,false,false,,0,,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,
690a372f6caffe3d82a84f27,990J0M71U25-010,"Door Ambient Light - 4 Door | Victoris (L,V,Z,Z(O))",Y,AA,1,LIF,LGHT,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_V,VICTORIS_Z,VICTORIS_L,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_V,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_L,,,,,,,,,"990J0M71U25-010 DOOR POCKET AMBIENT LIGHT 4 DOOR DOOR AMBIENT LIGHT - 4 DOOR | VICTORIS (L,V,Z,Z(O)) VICTORIS ",true,9999,2025-11-04T17:26:02.881Z,2025-11-04T17:36:13.074Z,1762277162881,1762277773074,6443.50,true,true,false,SHOW,0,LGHT,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,INL
690a372f6caffe3d82a84e00,990J0M71UC1-020,"Plush Prism Steering Cover | Victoris (L,V,Z,Z(O))",Y,AA,1,INT,STG,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_V,VICTORIS_Z,VICTORIS_L,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_V,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_L,,,,,,,,,"990J0M71UC1-020 STEERING COVER DESIGN 2 PLUSH PRISM STEERING COVER | VICTORIS (L,V,Z,Z(O)) VICTORIS ",true,9999,2025-11-04T17:26:02.880Z,2025-11-04T17:36:13.073Z,1762277162880,1762277773073,543.50,true,true,false,SHOW,0,STG,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,STGPU
690a372f6caffe3d82a84e18,990J0M71UC1-010,"Upscale Grooves Steering Cover | Victoris (L,V,Z,Z(O))",Y,AA,1,INT,STG,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_V,VICTORIS_Z,VICTORIS_L,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_V,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_L,,,,,,,,,"990J0M71UC1-010 STEERING COVER DESIGN 1 UPSCALE GROOVES STEERING COVER | VICTORIS (L,V,Z,Z(O)) VICTORIS ",true,9999,2025-11-04T17:26:02.880Z,2025-11-04T17:36:13.073Z,1762277162880,1762277773073,543.50,true,true,false,SHOW,0,STG,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,STGPU
690a372f6caffe3d82a84edc,990J0M71US8-030,"Premium Elevate Black Finish Seat Cover | Victoris (L,V,Z,Z(O))",Y,AA,1,INT,SCRSAB,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_L,VICTORIS_V,VICTORIS_Z,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_L,VICTORIS_2025-9999_V,VICTORIS_2025-9999_Z,,,,,,,,,"990J0M71US8-030 SAB SEAT COVER DESIGN 5 COLOUR 2 PR PREMIUM ELEVATE BLACK FINISH SEAT COVER | VICTORIS (L,V,Z,Z(O)) VICTORIS ",true,5,2025-11-04T17:26:02.880Z,2025-11-04T17:36:13.071Z,1762277162880,1762277773071,9762.50,true,true,false,SHOW,0,SCRSAB,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,SABPPU
690a372f6caffe3d82a84f26,75901M71UD0,Designer Mat - Hybrid | Victoris,Y,AA,1,INT,MAT,2025-04-23T00:00:00.000Z,VICTORIS,,VICTORIS_V,VICTORIS_Z,VICTORIS_Z+,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_V,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_Z+,,,,,,,,,75901M71UD0 PVC DESIGNER MAT THS DESIGNER MAT - HYBRID | VICTORIS VICTORIS Z Z+ ,true,10,2025-11-04T17:26:02.881Z,2025-11-04T17:36:13.071Z,1762277162881,1762277773071,1834.50,true,true,false,DIY,0,MAT,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,MATPD
690a372f6caffe3d82a84dbd,990J0M71U11-030,Fog Lamp | Victoris ,Y,AA,1,SAF,LMP,2025-09-12T00:00:00.000Z,VICTORIS,,VICTORIS_V,VICTORIS_L,,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_V,VICTORIS_2025-9999_L,,,,,,,,,,990J0M71U11-030 FOG LAMP KIT - LXI AND VXI FOG LAMP | VICTORIS  VICTORIS ,true,6,2025-11-04T17:26:02.880Z,2025-11-04T17:36:13.070Z,1762277162880,1762277773070,6790.00,true,true,false,SHOW,0,LMP,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,
690a37266caffe3d82a8485c,43210M76T80-QC8,Machined Finish Alloy Wheel | Victoris & Grand Vitara,Y,AA,1,EXT,WHL,2025-02-11T00:00:00.000Z,VICTORIS,GRAND VITARA,VICTORIS_L,VICTORIS_V,GRAND VITARA_DELTA+,GRAND VITARA_DELTA,GRAND VITARA_SIGMA,VICTORIS_2025-9999,GRAND VITARA_2025-9999,,,VICTORIS_2025-9999_L,VICTORIS_2025-9999_V,GRAND VITARA_2025-9999_DELTA+,GRAND VITARA_2025-9999_DELTA,GRAND VITARA_2025-9999_SIGMA,,,,,,,43210M76T80-QC8 ALLOY WHEEL (17 MACHINED FINISH ALLOY WHEEL | VICTORIS & GRAND VITARA VICTORIS GRAND VITARA DELTA+ SIGMA ,true,1,2025-11-04T17:25:46.758Z,2025-11-04T17:36:13.070Z,1762277146758,1762277773070,10601.50,true,true,false,SHOW,0,WHL,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,WHL17
690a372f6caffe3d82a84ea0,43210M71U60-QC8,WHEEL ALUMINIUM(17X6 1/2J) (BLACK),Y,AA,1,P_SNB,W_WHR,2025-04-22T00:00:00.000Z,VICTORIS,,VICTORIS_V,VICTORIS_L,,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_V,VICTORIS_2025-9999_L,,,,,,,,,,"43210M71U60-QC8 WHEEL COMP,AL(17X6 1/2J) WHEEL ALUMINIUM(17X6 1/2J) (BLACK) VICTORIS V ",true,9999,2025-11-04T17:26:02.880Z,2025-11-04T17:36:13.070Z,1762277162880,1762277773070,11053.00,true,true,false,,0,W_WHR,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,WHRIM
690a372f6caffe3d82a84e1f,990J0M71UPJ-030,Interior Styling Kit - Modern Dark Prism | Victoris,Y,AA,1,INT,STI,2025-07-18T00:00:00.000Z,VICTORIS,,VICTORIS_Z+,VICTORIS_Z,VICTORIS_V,,,VICTORIS_2025-9999,,,,VICTORIS_2025-9999_Z+,VICTORIS_2025-9999_Z,VICTORIS_2025-9999_V,,,,,,,,,990J0M71UPJ-030 INTERIOR STYLING KIT LUMITILE DESIG INTERIOR STYLING KIT - MODERN DARK PRISM | VICTORIS VICTORIS Z+ ,true,9999,2025-11-04T17:26:02.880Z,2025-11-04T17:36:13.070Z,1762277162880,1762277773070,3217.00,true,true,false,SHOW,0,STI,com.marutisuzuki.partmaster.domain.models.PartSearchDoc,
