_id,EPC_MOD_CD,EPC_VAR_CD,EPC_VAR_DESC,VAR_START_DATE,CREATED_DATE,MODIFIED_DATE,STAGING_APPROVED,PRODUCTION_APPROVED,ACTIVE_FLAG,dbCreatedTime,_class
68ed01da79e65e49cb33471d,Y17,K15C 6AT 2W ZXI+,K15C:6AT:2W:ZXI+,2025-08-20T00:00:00.000Z,2025-10-04T00:30:24.055Z,2025-10-13T13:46:37.555Z,true,true,Y,2025-10-04T00:30:24.055Z,com.marutisuzuki.partmaster.domain.models.PmEpcVariantMastMsgpDoc
68ed01db79e65e49cb334726,Y17,K15C 6AT ZXI,K15C:6AT:ZXI,2025-08-20T00:00:00.000Z,2025-10-04T00:30:23.879Z,2025-10-13T13:46:37.533Z,true,true,Y,2025-10-04T00:30:23.879Z,com.marutisuzuki.partmaster.domain.models.PmEpcVariantMastMsgpDoc
68ed01db79e65e49cb33472b,Y17,M15D ZXI+(O),M15D:ZXI+(O),2025-08-20T00:00:00.000Z,2025-10-04T00:30:23.880Z,2025-10-13T13:46:37.508Z,true,true,Y,2025-10-04T00:30:23.880Z,com.marutisuzuki.partmaster.domain.models.PmEpcVariantMastMsgpDoc
68ed01db79e65e49cb33472f,Y17,K15C 5MT LXI,K15C:5MT:LXI,2025-08-20T00:00:00.000Z,2025-10-04T00:30:23.846Z,2025-10-13T13:46:37.486Z,true,true,Y,2025-10-04T00:30:23.846Z,com.marutisuzuki.partmaster.domain.models.PmEpcVariantMastMsgpDoc
68ed01da79e65e49cb334721,Y17,K15C 6AT 4W ZXI+,K15C:6AT:4W:ZXI+,2025-08-20T00:00:00.000Z,2025-10-04T00:30:23.929Z,2025-10-13T13:46:37.466Z,true,true,Y,2025-10-04T00:30:23.929Z,com.marutisuzuki.partmaster.domain.models.PmEpcVariantMastMsgpDoc
68ed01db79e65e49cb33472c,Y17,K15C 5MT VXI,K15C:5MT:VXI,2025-08-20T00:00:00.000Z,2025-10-04T00:30:24.174Z,2025-10-13T13:46:37.444Z,true,true,Y,2025-10-04T00:30:24.174Z,com.marutisuzuki.partmaster.domain.models.PmEpcVariantMastMsgpDoc
68ed01db79e65e49cb334729,Y17,K15C 5MT ZXI+,K15C:5MT:ZXI+,2025-08-20T00:00:00.000Z,2025-10-04T00:30:23.902Z,2025-10-13T13:46:37.414Z,true,true,Y,2025-10-04T00:30:23.902Z,com.marutisuzuki.partmaster.domain.models.PmEpcVariantMastMsgpDoc
68ed01db79e65e49cb33472e,Y17,M15D ZXI(O),M15D:ZXI(O),2025-08-20T00:00:00.000Z,2025-10-04T00:30:24.045Z,2025-10-13T13:46:37.387Z,true,true,Y,2025-10-04T00:30:24.045Z,com.marutisuzuki.partmaster.domain.models.PmEpcVariantMastMsgpDoc
68ed01db79e65e49cb33472d,Y17,K15C CNG VXI,K15C:CNG:VXI,2025-08-20T00:00:00.000Z,2025-10-04T00:30:23.794Z,2025-10-13T13:46:37.359Z,true,true,Y,2025-10-04T00:30:23.794Z,com.marutisuzuki.partmaster.domain.models.PmEpcVariantMastMsgpDoc
68ed01db79e65e49cb334727,Y17,M15D ZXI+,M15D:ZXI+,2025-08-20T00:00:00.000Z,2025-10-04T00:30:23.902Z,2025-10-13T13:46:37.321Z,true,true,Y,2025-10-04T00:30:23.902Z,com.marutisuzuki.partmaster.domain.models.PmEpcVariantMastMsgpDoc
